Elo	Username	W	L	T	Last update
1045	Eedr	1	0	0	Wed Jan 15 2020 12:38:32 GMT+0000 (Coordinated Universal Time)
1000	Eevee3815152	0	1	0	Wed Jan 15 2020 12:38:32 GMT+0000 (Coordinated Universal Time)
