Elo	Username	W	L	T	Last update
1045	JezebelleXX	1	0	0	Tue Mar 05 2019 19:50:07 GMT+0000 (Coordinated Universal Time)
1000	Ayush lakra ~_~	0	1	0	Tue Mar 05 2019 19:50:07 GMT+0000 (Coordinated Universal Time)
